store,sku,pn,url,price,seller
Walmart,34696326,X8700-1437BLK,http://www.walmart.com/ip/Dell-XPS-8700-Desktop-PC-with-Intel-Core-i5-4440-Processor-12GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/34696326,829.99,Not Listed
Walmart,40099992,X8700-3312BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i7-4790-Processor-16GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Included/40099992,1104.08,pcRUSH
Walmart,36883726,X8700-634BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i5-4460-Processor-8GB-Memory-1TB-Hard-Drive-and-Windows-7-Home-Premium-Monitor-Not-Included/36883726,642.56,Not Listed
Walmart,40099990,X8700-6877BLK,http://www.walmart.com/ip/Dell-Black-XPS-8700-Desktop-PC-with-Intel-Core-i7-4790-Processor-24GB-Memory-256GB-SSD-2TB-SATA-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/40099990,1531.49,Not Listed
Walmart,38055736,XPSo18T-6656BLK,http://www.walmart.com/ip/Dell-Black-XPS-1820-All-In-One-Desktop-PC-with-Intel-Core-i7-4510U-Processor-8GB-Memory-256GB-SSD-18.4-Touchscreen-Monitor-and-Windows-8.1/38055736,1423.76,Not Listed
Walmart,38055737,XPSO18T-7767BLK,http://www.walmart.com/ip/Dell-Black-XPS-1820-All-In-One-Desktop-PC-with-Intel-Core-i5-4210U-Processor-8GB-Memory-1TB-Hard-Drive-18.4-Touchscreen-Monitor-and-Windows-8.1/38055737,1250,Not Listed
Walmart,43825465,XPSo27T-1343BLK,http://www.walmart.com/ip/Dell-Black-XPS-27-All-in-One-Desktop-PC-with-Intel-Core-i7-4790S-Processor-8GB-Memory-27-Touchscreen-2TB-Hard-Drive-and-Windows-8.1/43825465,1954.17,Not Listed
Walmart,24766510,DT.GERAA.001,http://www.walmart.com/ip/Gateway-Black-DX4375G-UW20-Desktop-PC-with-AMD-Quad-Core-A6-5200-Processor-6GB-Memory-500GB-Hard-Drive-and-Windows-8-Operating-System-Monitor-Not-I/24766510,391,Not Listed
Walmart,33846063,F3D15AA,http://www.walmart.com/ip/HP-110-210-Desktop-PC-with-AMD-A4-5000-Quad-Core-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/33846063,339.99,TigerDirect
Walmart,39457142,J4V69AA,http://www.walmart.com/ip/HP-110-400-110-420-Desktop-Computer-Intel-Core-i3-i3-3240T-2.90-GHz-Mini-tower/39457142,359,Walmart.com
Walmart,38668654,G8Y72UA,http://www.walmart.com/ip/HP-Chromebox-CB1-010-Mini-1-x-Celeron-2955U-1.4-GHz-RAM-2-GB-SSD-16-GB-HD-Graphics-GigE-WLAN-802.11a-b/38668654,198,Walmart.com
Walmart,42438883,K5G97AA,http://www.walmart.com/ip/HP-Black-Envy-Phoenix-810-470-Desktop-PC-with-Intel-Core-i5-4670K-Processor-12GB-Memory-1TB-Hard-Drive-and-Windows-8.1-Monitor-Not-Included/42438883,970.83,pcRUSH
Walmart,36977778,F3E66AA,http://www.walmart.com/ip/HP-Pavilion-500-291-Desktop-PC-with-Intel-Core-i3-4130-Processor-4GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Included/36977778,549.99,Not Listed
Walmart,39457150,J4W74AA,http://www.walmart.com/ip/HP-Black-Pavilion-500-490-Desktop-PC-with-Intel-Core-i3-4130-Processor-4GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Included/39457150,na,Walmart.com
Walmart,43171166,K5G66AA,http://www.walmart.com/ip/HP-Black-Pavilion-500-590-Desktop-PC-with-Intel-Core-i3-4130-Processor-4GB-Memory-1TB-Hard-Drive-and-Windows-7-Professional-Monitor-Not-Included/43171166,498,Not Listed
